timestep,nC,nsys,dC_normF,dC_rel,coupling_change,correction_rel,cap_cond,cap_smin,cap_smax,cap_rcond,cap_symres,woodbury_err,woodbury_relres,frozen_err,frozen_relres,fresh_err,fresh_relres,backslash_relres,t_woodbury_net,t_woodbury,t_woodbury_diag,t_frozen,t_fresh,cum_woodbury,cum_fresh
34,78,15759,8.34623552908953,1.31145370393115,1.19470773168407,0.39849320123054,86803812.5308315,0.00022387817310985,19433.4789683725,5.10192618501389e-09,2.64762510720548e-15,7.55679703649125e-13,4.73297459549216e-13,0.398493201230612,1.89828034948745,0,1.71539876408448e-15,1.71539876408448e-15,0.041301,0.042952,0.001651,0.002357,0.138834,1.785458,3.399551
35,78,15759,8.46242541106457,1.32971075533408,1.19190703094765,0.519924622121593,30334372.6715969,0.000640642000053415,19433.4731786975,1.5602604083797e-08,2.64763858420856e-15,3.16950282094432e-13,4.81481097004466e-13,0.519924622121641,2.4017880128886,0,1.91065680189549e-15,1.91065680189549e-15,0.041774,0.043521,0.001747,0.001775,0.067239,1.827232,3.46679
36,78,15759,8.71139275570335,1.36883128400193,1.1824660816058,0.560728182360083,138350277.782901,0.00014046570105743,19433.4687602654,3.91427669322329e-09,2.64762854376299e-15,5.69259818803614e-13,5.71898098441587e-13,0.560728182359906,4.06412240805871,0,2.1003655003957e-15,2.1003655003957e-15,0.045314,0.050558,0.002117,0.001917,0.127475,1.872546,3.594265
37,78,15759,8.55920251871699,1.34491745491069,1.16996870152627,0.64225866490265,238580463.592408,8.14545499688711e-05,19433.4642932842,2.16144781102431e-09,2.64762924727473e-15,1.31454834618796e-12,8.00269967034748e-13,0.642258664902805,2.11988306430872,0,2.18090428418837e-15,2.18090428418837e-15,0.039075,0.041612,0.001635,0.001578,0.079864,1.911621,3.674129
38,78,15759,8.6525108775905,1.35957910595395,1.2112408675998,0.69054654191984,1735388004.43526,1.11983378241423e-05,19433.4611296302,3.2901829719051e-10,2.64762900304796e-15,2.71304128338226e-12,5.90275366873034e-13,0.690546541919604,2.21032042707267,0,2.41578713427736e-15,2.41578713427736e-15,0.037956,0.039424,0.001468,0.001617,0.077781,1.949577,3.75191
39,78,15759,8.63521100872844,1.35686075742214,1.19513964346166,0.661480545181627,6686438174.46503,2.90639929608716e-06,19433.4592035955,7.60551722383903e-11,2.64762917105749e-15,3.30475037772877e-11,7.54202566672937e-13,0.661480545181831,2.26350858897412,0,2.04413751848413e-15,2.04413751848413e-15,0.039627,0.04151,0.001767,0.001586,0.077464,1.989204,3.829374
40,78,15759,8.61441755160944,1.35359345730088,1.19396111628393,0.613013164210287,25720879.733113,0.000755551848827968,19433.4582358353,1.89184655107343e-08,2.64762900669796e-15,5.11436138293239e-13,1.06007197053987e-12,0.613013164210193,4.25950255803197,0,2.1421491476752e-15,2.1421491476752e-15,0.038151,0.040399,0.001521,0.001584,0.091002,2.027355,3.920376
41,78,15759,8.6844116361829,1.36459170928493,1.149789268103,0.499967106650244,109062698.942599,0.000178186112150713,19433.4583052453,5.31045195780443e-09,2.64762907784869e-15,1.85375465750163e-12,7.01854425534205e-13,0.499967106650245,5.10313356044382,0,1.8260361457077e-15,1.8260361457077e-15,0.04159,0.043315,0.001647,0.002295,0.099779,2.068945,4.020155
42,78,15759,8.59727395953084,1.35089966472196,1.17495725164845,0.452647102676195,86923637.1849376,0.000223569340193476,19433.4602126536,5.59423462772144e-09,2.64762871469099e-15,1.05756432622292e-12,6.87202174307426e-13,0.452647102676029,2.94888684654412,0,1.83601062917486e-15,1.83601062917486e-15,0.037309,0.038744,0.001435,0.001553,0.092073,2.106254,4.112228
43,78,15759,8.70048181375503,1.36711683499296,1.21018759731022,0.45421682696791,39907945606.1649,4.86957325279564e-07,19433.4664497804,1.2506043010144e-11,2.64762833453884e-15,5.45767107976203e-11,9.49249312542527e-13,0.454216826968204,4.22565246621056,0,2.74818813775026e-15,2.74818813775026e-15,0.03929,0.040902,0.001612,0.001465,0.052116,2.145544,4.164344
44,78,15759,8.6165653643778,1.35393094562129,1.17640042703233,0.494562723271925,1515918961.50196,1.28196030166502e-05,19433.4792918677,3.01796208847472e-10,2.64762756659539e-15,1.44606126266589e-11,1.03600337905594e-12,0.494562723271972,3.84382608719661,0,1.69356126248782e-15,1.69356126248782e-15,0.04004,0.042375,0.001852,0.001712,0.094094,2.185584,4.258438
45,78,15759,8.60664285560797,1.35237181026821,1.17955746657587,0.580307367531169,75069873.2314036,0.000258872440017047,19433.5212551838,5.87304578744315e-09,2.6476237802062e-15,6.28640047475297e-13,7.4356552252437e-13,0.580307367530929,3.69252182278247,0,1.76667514497469e-15,1.76667514497469e-15,0.038295,0.040186,0.001561,0.001679,0.063761,2.223879,4.322199
46,78,15759,8.56373375302923,1.34562945303265,1.13578533565636,0.612519275154998,89296142.9125551,0.000217630299879376,19433.546360131,6.35136330162018e-09,2.64762390925034e-15,2.00039191072438e-13,5.60846920659039e-13,0.612519275155029,6.46372779895062,0,1.56303364969428e-15,1.56303364969428e-15,0.038485,0.040087,0.001602,0.001708,0.092233,2.262364,4.414432
47,78,15759,8.70792974273655,1.36828713674342,1.18658113007316,0.59837490097104,28019435.5332154,0.000693571396581715,19433.4790342035,1.63331695252614e-08,2.64765684126569e-15,5.6854275418575e-14,6.88305984003655e-13,0.598374900971042,3.98090217895325,0,1.8398419331192e-15,1.8398419331192e-15,0.041319,0.042889,0.00157,0.001768,0.127717,2.303683,4.542149
48,78,15759,8.61306191924396,1.3533804452093,1.17248940242893,0.568942458473888,44450084.7812959,0.000437198208019604,19433.497412702,1.24245831775467e-08,2.64762970486365e-15,5.53832524529887e-13,8.86095289188479e-13,0.56894245847391,4.92014909045578,0,1.84055489868851e-15,1.84055489868851e-15,0.043894,0.046461,0.001539,0.001914,0.056125,2.347577,4.598274
49,78,15759,8.66888672509915,1.36215226193492,1.20922241804047,0.590646350092027,81329482.1719074,0.000238947538049384,19433.4795358085,5.60798138241731e-09,2.6476293731206e-15,8.62355789643236e-13,9.95658253818632e-13,0.590646350091915,4.12388049395288,0,1.86770854004275e-15,1.86770854004275e-15,0.042605,0.044006,0.001401,0.001839,0.096288,2.390182,4.694562
