timestep,nC,nsys,dC_normF,dC_rel,coupling_change,correction_rel,cap_cond,cap_smin,cap_smax,cap_rcond,cap_symres,woodbury_err,woodbury_relres,frozen_err,frozen_relres,fresh_err,fresh_relres,backslash_relres,t_woodbury_net,t_woodbury,t_woodbury_diag,t_frozen,t_fresh,cum_woodbury,cum_fresh
36,44,5864,6.73467964129795,1.37912902256838,1.2057967741602,1.1111207309973,361.008007461864,0.0509214485131541,18.3830506648057,0.000828510162429515,8.1153802350087e-16,4.68533585925933e-15,2.45717566875812e-14,1.11112073099729,1.3537950169776,0,1.07207403862625e-15,1.07207403862625e-15,0.010092,0.014659,0.004567,0.000394,0.018486,0.333843,0.857242
37,44,5864,6.79882546128973,1.39226481621246,1.23132659776902,1.10942666712484,342.262940469061,0.0537103159285343,18.3830506632224,0.00077863922118717,8.1130136584546e-16,4.12582691969519e-15,1.99286841499296e-14,1.10942666712484,1.34273213463112,0,1.09212026342933e-15,1.09212026342933e-15,0.00688,0.007373,0.000429,0.000395,0.01722,0.340723,0.874462
38,44,5864,6.88086752117901,1.40906540538537,1.26425777014238,1.11060064937754,322.130274886032,0.0570671312054494,18.3830506621687,0.000784530755094159,8.11788478773877e-16,1.00317007951228e-14,2.14384498775779e-14,1.11060064937755,1.34210394074338,0,1.11564720049874e-15,1.11564720049874e-15,0.006866,0.007384,0.000447,0.000357,0.025567,0.347589,0.900029
39,44,5864,6.91240801131617,1.41552427316394,1.27789557909604,1.11659468825138,320.403666129621,0.0573746576733356,18.3830506614687,0.000831407666400034,8.12583882075986e-16,6.96032332321795e-15,1.76445781840681e-14,1.11659468825138,1.35407508986079,0,1.11276349166861e-15,1.11276349166861e-15,0.007366,0.007857,0.000491,0.00038,0.017268,0.354955,0.917297
40,44,5864,6.80212266654301,1.39294001855323,1.23000991421566,1.11788012735026,330.126708888797,0.0556848330233049,18.3830506610058,0.000669138108723111,8.11562850272e-16,1.09905400633672e-14,3.2888190826963e-14,1.11788012735026,1.36116161693268,0,1.07706509139246e-15,1.07706509139246e-15,0.007295,0.00787,0.000527,0.000376,0.01595,0.36225,0.933247
41,44,5864,6.73826559369217,1.37986335460551,1.19831956747614,1.11827287291772,341.99851426387,0.0537518436308594,18.3830506606978,0.000918482032097705,8.12446948743437e-16,8.55642814963697e-15,2.20987960049737e-14,1.11827287291772,1.37990021703313,0,1.19603663498293e-15,1.19603663498293e-15,0.009214,0.010374,0.000388,0.000417,0.015993,0.371464,0.94924
42,44,5864,6.74852712725495,1.38196471346833,1.20652957143337,1.11858216660617,344.319219020827,0.0533895572625038,18.383050660493,0.000852729600302614,8.12037227122806e-16,7.37598987906945e-15,2.95309599486671e-14,1.11858216660617,1.41078139381864,0,1.10040463783179e-15,1.10040463783179e-15,0.007284,0.007835,0.000512,0.000371,0.019337,0.378748,0.968577
43,44,5864,6.83945962709877,1.40058588868508,1.23857900700601,1.11947707650553,330.254768513641,0.0556632406644496,18.3830506603569,0.000903624208556919,8.11566147205229e-16,6.30905885001701e-15,1.81302214842293e-14,1.11947707650553,1.44752650326003,0,1.12731593123212e-15,1.12731593123212e-15,0.007801,0.008223,0.000422,0.000395,0.013238,0.386549,0.981815
44,44,5864,6.88726514335444,1.41037551171373,1.26286744321729,1.11944205866899,334.995016675729,0.0548755943974577,18.3830506602669,0.0008730475040516,8.11708631388056e-16,7.03232639437323e-15,3.01752742696065e-14,1.11944205866899,1.46181004338413,0,1.06214808433199e-15,1.06214808433199e-15,0.006987,0.007705,0.000562,0.000397,0.013792,0.393536,0.995607
45,44,5864,6.83483721856107,1.39963931095487,1.23703884051286,1.11812515890605,355.99775784025,0.0516381079806031,18.3830506602074,0.000819249707042079,8.11530773575867e-16,4.87937122940766e-15,1.88924597221565e-14,1.11812515890605,1.44589273271492,0,1.21287071453129e-15,1.21287071453129e-15,0.007672,0.008138,0.000466,0.000387,0.012472,0.401208,1.008079
46,44,5864,6.76064076058426,1.38444534568589,1.18895285064366,1.11589924938855,325.163804187042,0.056534738563932,18.383050660168,0.000819520565256515,8.12088196436321e-16,5.25206707443512e-15,1.49010695639497e-14,1.11589924938855,1.4077617405839,0,1.26221007554724e-15,1.26221007554724e-15,0.006877,0.008183,0.001306,0.000375,0.034729,0.408085,1.042808
47,44,5864,6.74529639282123,1.38130312303507,1.20005866693948,1.11394062122446,324.925255738459,0.0565762443376788,18.3830506601419,0.000928863669135454,8.12087335559239e-16,5.35326412305578e-15,1.77099394341183e-14,1.11394062122446,1.38038093850163,0,1.23718453055425e-15,1.23718453055425e-15,0.009402,0.013579,0.004177,0.00036,0.031154,0.417487,1.073962
48,44,5864,6.78983991870671,1.39042475503364,1.20409147665263,1.11060735218784,369.591333326099,0.0497388574961653,18.3830506601246,0.000865231587565845,8.12218017605032e-16,5.17440098278143e-15,2.23577611530282e-14,1.11060735218784,1.36163297340368,0,1.17184298506542e-15,1.17184298506542e-15,0.006807,0.007223,0.000416,0.000379,0.017233,0.424294,1.091195
49,44,5864,6.88475973699381,1.40986245410605,1.2488156735308,1.10745214634457,338.491627480588,0.0543087307563239,18.3830506601131,0.000816887815064538,8.11367734248627e-16,5.07464226479939e-15,3.97296786904241e-14,1.10745214634457,1.35243837619905,0,1.20841265413141e-15,1.20841265413141e-15,0.006499,0.007011,0.000512,0.000364,0.019662,0.430793,1.110857
50,44,5864,6.88410378241561,1.40972812759841,1.25873340707826,1.10240791141153,347.128928029846,0.0529574148845498,18.3830506601056,0.00077760016673542,8.11918397929687e-16,8.83883519500548e-15,2.49567152142898e-14,1.10240791141153,1.34087933530325,0,1.20359259558854e-15,1.20359259558854e-15,0.007221,0.012345,0.0037,0.000382,0.016921,0.438014,1.127778
